,Primary Source,,Secondary Source,,Source Question,,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,,,,Old Quest Value,,Connect Value,Required,PII,,Notes,,,,,,,Date added or modified,,,QuestID - radio button or multi-answer format questions questions.,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,,Baby or low-dose aspirin (81 mg or less),Baby or low-dose aspirin (81 mg or less),SrvMRE_LAspirin_v1r0,0,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,PAINREL1,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,,Regular or extra strength aspirin (such as Bufferin or Anacin),Regular or extra strength aspirin (such as Bufferin or Anacin),SrvMRE_REAspirin_v1r0,1,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,PAINREL1,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,,Ibuprofen (such as Motrin or Advil),Ibuprofen (such as Motrin or Advil),SrvMRE_Ibuprofen_v1r0,2,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,PAINREL1,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,,Acetaminophen (such as Tylenol),Acetaminophen (such as Tylenol),SrvMRE_Acetaminophen_v1r0,3,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,PAINREL1,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,,"Naproxen (such as Naprosyn, Anaprox, or Aleve)","Naproxen (such as Naprosyn, Anaprox, or Aleve)",SrvMRE_Naproxen_v1r0,4,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,PAINREL1,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,,Celebrex (Celecoxib),Celebrex (Celecoxib),SrvMRE_Celebrex_v1r0,5,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,PAINREL1,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,,Prescription pain relievers containing opioids,Prescription pain relievers containing opioids,SrvMRE_Opioids_v1r0,6,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,PAINREL1,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,,None of the above,None of the above,SrvMRE_NoPainMeds_v1r0,88,Num,2,,,,2=No,,0 = No,No,No,,,,,,,,,,,,PAINREL1,
,,,,,,,,,,,,,,,,1=Yes,,1 = Yes,,,,,,,,,,,,,,,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"During the time(s) that you were taking baby or low-dose aspirin (81 mg or less), about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",,Days per week,Baby or low-dose aspirin (81 mg or less) days per week,SrvMRE_LAspirinWk_v1r0,BabyAsprinWEEK,Num,2,,,,N/A,,N/A,No,No,,Only display if PAINREL1 = 0,,,,,,,10/8/21,,,PAINREL2_1,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"During the time(s) that you were taking baby or low-dose aspirin (81 mg or less), about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",,Days per month,Baby or low-dose aspirin (81 mg or less) days per month,SrvMRE_LAspirinMo_v1r0,BabyAsprinMONTH,Num,2,,,,N/A,,N/A,No,No,,Only display if PAINREL1 = 0,,,,,,,10/8/21,,,PAINREL2_1,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"During the time(s) that you were taking regular or extra strength aspirin, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",,Days per week,Regular or extra strength aspirin days per week,SrvMRE_ReAspirinWk_v1r0,RegAsprinWEEK,Num,2,,,,N/A,,N/A,No,No,,Only display if PAINREL1 = 1,,,,,,,10/8/21,,,PAINREL2_2,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"During the time(s) that you were taking regular or extra strength aspirin, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",,Days per month,Regular or extra strength aspirin days per month,SrvMRE_REAspirinMo_v1r0,RegAsprinMONTH,Num,2,,,,N/A,,N/A,No,No,,Only display if PAINREL1 = 1,,,,,,,10/8/21,,,PAINREL2_2,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"During the time(s) that you were taking ibuprofen, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",,Days per week,ibuprofen days per week,SrvMRE_IbuprofenWk_v1r0,IbuprofenWEEK,Num,2,,,,N/A,,N/A,No,No,,Only display if PAINREL1 = 2,,,,,,,10/8/21,,,PAINREL2_3,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"During the time(s) that you were taking ibuprofen, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",,Days per month,ibuprofen days per month,SrvMRE_IbuprofenMo_v1r0,IbuprofenMONTH,Num,2,,,,N/A,,N/A,No,No,,Only display if PAINREL1 = 2,,,,,,,10/8/21,,,PAINREL2_3,
,Survey,,"Medications, Reproductive Health, Exercise, and Sleep",,"During the time(s) that you were taking Acetaminophen, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",,Days per week,Acetaminophen days per week,SrvMRE_AcetaminophenWk_v1r0,AcetWEEK,Num,2,,,,N/A,,N/A,No,No,,Only display if PAINREL1 = 3,,,,,,,10/8/21,,,PAINREL2_4,
