conceptId,Primary Source,conceptId,Secondary Source,conceptId,Source Question,conceptId,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date added or modified,,QuestID - radio button or multi-answer format questions questions.,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",399982309,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,469512398,Baby or low-dose aspirin (81 mg or less),Baby or low-dose aspirin (81 mg or less),SrvMRE_LAspirin_v1r0,0,Num,2,104430631,0 = No,,2=No,No,No,,,,,,,,PAINREL1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",399982309,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,194424439,Regular or extra strength aspirin (such as Bufferin or Anacin),Regular or extra strength aspirin (such as Bufferin or Anacin),SrvMRE_REAspirin_v1r0,1,Num,2,104430631,0 = No,,2=No,No,No,,,,,,,,PAINREL1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",399982309,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,422188606,Ibuprofen (such as Motrin or Advil),Ibuprofen (such as Motrin or Advil),SrvMRE_Ibuprofen_v1r0,2,Num,2,104430631,0 = No,,2=No,No,No,,,,,,,,PAINREL1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",399982309,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,555555502,Acetaminophen (such as Tylenol),Acetaminophen (such as Tylenol),SrvMRE_Acetaminophen_v1r0,3,Num,2,104430631,0 = No,,2=No,No,No,,,,,,,,PAINREL1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",399982309,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,800410166,"Naproxen (such as Naprosyn, Anaprox, or Aleve)","Naproxen (such as Naprosyn, Anaprox, or Aleve)",SrvMRE_Naproxen_v1r0,4,Num,2,104430631,0 = No,,2=No,No,No,,,,,,,,PAINREL1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",399982309,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,221645137,Celebrex (Celecoxib),Celebrex (Celecoxib),SrvMRE_Celebrex_v1r0,5,Num,2,104430631,0 = No,,2=No,No,No,,,,,,,,PAINREL1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",399982309,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,974248369,Prescription pain relievers containing opioids,Prescription pain relievers containing opioids,SrvMRE_Opioids_v1r0,6,Num,2,104430631,0 = No,,2=No,No,No,,,,,,,,PAINREL1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",399982309,Pain relievers- Have you ever taken any of these medications at least 4 times a month for 6 months or longer? Select all that apply.,808714782,None of the above,None of the above,SrvMRE_NoPainMeds_v1r0,88,Num,2,104430631,0 = No,,2=No,No,No,,,,,,,,PAINREL1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",861838892,"During the time(s) that you were taking baby or low-dose aspirin (81 mg or less), about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",765748316,Days per week,Baby or low-dose aspirin (81 mg or less) days per week,SrvMRE_LAspirinWk_v1r0,BabyAsprinWEEK,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 0,,,,,10/8/21,,PAINREL2_1,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",861838892,"During the time(s) that you were taking baby or low-dose aspirin (81 mg or less), about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",785412329,Days per month,Baby or low-dose aspirin (81 mg or less) days per month,SrvMRE_LAspirinMo_v1r0,BabyAsprinMONTH,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 0,,,,,10/8/21,,PAINREL2_1,
