conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptID_Source_Question,Source Question,conceptId_Question Text,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId_Format/Value,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date Added or Modified,,Quest_Source Question,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Have you ever used any of these tobacco products, even once? Select all that apply.",,Cigarettes (manufactured or hand-rolled),Cigarettes (manufactured or hand-rolled),SrvSAS_Cigarettes_v1r0,0,Num,1,,0 = No,,2=No,No,No,,,,,,10/20/21,,TOBACCO,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Have you ever used any of these tobacco products, even once? Select all that apply.",,"Electronic delivery devices that can be vaped, such as e-cigarettes, Juul, blue, and NJOY. These electronic delivery devices are battery-powered and create vapor.","Electronic delivery devices that can be vaped, such as e-cigarettes, Juul, blue, and NJOY. These electronic delivery devices are battery-powered and create vapor.",SrvSAS_EDevice_v1r0,1,Num,1,,0 = No,,2=No,No,No,,,,,,10/20/21,,TOBACCO,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Have you ever used any of these tobacco products, even once? Select all that apply.",,"Cigars, cigarillos, or little filtered cigars; some of the most popular brands include Macanudo, Romeo y Julieta, Black and Mild, Swisher Sweets, Prime Time, and Cheyenne. Please do not include blunts as we will be asking about marijuana use in a later section.","Cigars, cigarillos, or little filtered cigars; some of the most popular brands include Macanudo, Romeo y Julieta, Black and Mild, Swisher Sweets, Prime Time, and Cheyenne. Please do not include blunts as we will be asking about marijuana use in a later section.",SrvSAS_Cigar_v1r0,2,Num,1,,0 = No,,2=No,No,No,,,,,,10/20/21,,TOBACCO,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Have you ever used any of these tobacco products, even once? Select all that apply.",,"Chewing tobacco, snus, snuff, or dip; some of the most popular brands are Red Man, Levi Garrett, BEECH-NUT, Skoal, and Copenhagen.","Chewing tobacco, snus, snuff, or dip; some of the most popular brands are Red Man, Levi Garrett, BEECH-NUT, Skoal, and Copenhagen.",SrvSAS_ChewTob_v1r0,3,Num,1,,0 = No,,2=No,No,No,,,,,,10/20/21,,TOBACCO,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Have you ever used any of these tobacco products, even once? Select all that apply.",,Hookah or water pipe,Hookah or water pipe,SrvSAS_Hookah_v1r0,4,Num,1,,0 = No,,2=No,No,No,,,,,,10/20/21,,TOBACCO,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Have you ever used any of these tobacco products, even once? Select all that apply.",,Tobacco pipe,Tobacco pipe,SrvSAS_TobaccoPipe_v1r0,5,Num,1,,0 = No,,2=No,No,No,,,,,,10/20/21,,TOBACCO,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
