conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptID_Source_Question,Source Question,conceptId_Question Text,Question Text,Variable Label,Variable Name,Quest Value for Select all that apply questions,Variable Type,Variable Length,conceptId_Format/Value,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date Added or Modified,,Quest_Source Question
,Survey,,Where You Live and Work,,What is the full street address of the place where you live now?,,Current street number,Street number,SrvLAW_StNum_v1r0,STNUM,Num,6,,,,,No,Yes,,,,,,2/3/22,,HOMEADD1_1
,Survey,,Where You Live and Work,,What is the full street address of the place where you live now?,,Current Full Street name,Full Street name,SrvLAW_FullSt_v1r0,FULLST,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_1
,Survey,,Where You Live and Work,,What is the full street address of the place where you live now?,,"Current Apartment, suite, unit, building, etc.","Apartment, suite, unit, building, etc.",SrvLAW_Apt_v1r0,APT,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_1
,Survey,,Where You Live and Work,,What is the full street address of the place where you live now?,,Current City ,City ,SrvLAW_City_v1r0,CITY,Char,45,,,,,No,Yes,,,,,,,,HOMEADD1_1
,Survey,,Where You Live and Work,,What is the full street address of the place where you live now?,,Current State/Province,State/Province,SrvLAW_State_v1r0,ST,Char,48,,,,,No,Yes,,,,,,,,HOMEADD1_1
,Survey,,Where You Live and Work,,What is the full street address of the place where you live now?,,Current Zip code,Zip code,SrvLAW_Zip_v1r0,ZIP,Num,5,,,,,No,Yes,,,,,,,,HOMEADD1_1
,Survey,,Where You Live and Work,,What is the full street address of the place where you live now?,,Current Country ,Country ,SrvLAW_Country_v1r0,COUNTRY,Char,300,,,,,No,Yes,,,,,,,,HOMEADD1_1
,Survey,,Where You Live and Work,,Please provide the following information: ,,Current City - Follow-up,City ,SrvLAW_CityFollowUp_v1r0,CITY_FOLLOWUP,Char,45,, ,, ,No,Yes, ,,,,,3/10/22,,HOMEADD2_1
,Survey,,Where You Live and Work,,Please provide the following information: ,,Current State/Province - Follow-up,State/Province,SrvLAW_StateFollowUp_v1r0,ST_FOLLOWUP,Char,48,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_1
,Survey,,Where You Live and Work,,Please provide the following information: ,,Current Zip code - Follow-up,Zip code,SrvLAW_ZipFollowUp_v1r0,ZIP_FOLLOWUP,Num,5,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_1
,Survey,,Where You Live and Work,,Please provide the following information: ,,Current Country - Follow-up,Country ,SrvLAW_CountryFollowUp_v1r0,COUNTRY_FOLLOWUP,Char,300,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_1
,Survey,,Where You Live and Work,,Please provide the following information: ,,Please provide the following information: ,Do Not Know Current,SrvLAW_CurDontKnow_v1r0,HOMEADD2_1,Num,2,,77 = Unavailable/Unknown,,77 = Unavailable/Unknown,No,No, ,,,,,3/3/22,,HOMEADD2_1
,Survey,,Where You Live and Work,,Please provide the cross streets of the intersection closest to this address:,,Current Full Street name #1 ,Full Street name #1 ,SrvLAW_StrName1_v1r0,STRNAME1,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_1
,Survey,,Where You Live and Work,,Please provide the cross streets of the intersection closest to this address:,,Current Full Street name #2,Full Street name #2,SrvLaw_StrtName1_v1r0,STRTNAME1,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_1
,Survey,,Where You Live and Work,,Please provide the cross streets of the intersection closest to this address:,,Please provide the cross streets of the intersection closest to this address:,Do Not Know Current Cross,SrvLAW_CurCrosDontKnow_v1r0,HOMEADD3_1,Num,2,,77 = Unavailable/Unknown,,77 = Unavailable/Unknown,No,No, ,,,,,3/3/22,,HOMEADD3_1
,Survey,,Where You Live and Work,,,,"Current Review 1- Within the past 20 years, have you lived anywhere else for at least two years ?",Lived anywhere else at least two years,SrvLAW_HomeAddOth_v1r0,HOMEADDOTH1,Num,2,,0 = No,,1=Yes,No,No,,,,,,1/12/22,,
,,,,,,,,,,,,,,1 = Yes,,2=No,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 2- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,1 - Previous street number,Street number,SrvLAW_StNum1_v1r0,STNUM1,Num,6,,,,,No,Yes,,,,,,2/3/22,,HOMEADD1_2
