Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Question Type,IMS Review Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4735,4735,129084651,Survey,716117817,Where You Live and Work,,,,,Revised,44909,869829679,Please review the list below and tell us if it includes all of the addresses where you have lived for at least two years in the last 20 years. Address 1,Please review the list below and tell us if it includes all of the addresses where you have lived for at least two years in the last 20 years.,Home address summary,SrvLAW_HomeAddSum_v1r1,HOMEADDSUM,Num,2,580377720,"0 = Yes, this list is complete",,No,No,,,,No,No,2/7/23,,Optional Multiple Choice,Added date pushed to prod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4736,4736,,,,,,,,,Revised,,,,,,,,,,270752953,"1 = No, I want to enter another address","1 = No, I want to enter another address (1st address)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4737,4737,,,,,,,,,Deprecated,,,,,,,,,,184065355,"2 = No, I want to enter another address (2nd address)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4738,4738,,,,,,,,,Deprecated,,,,,,,,,,574728716,"3 = No, I want to enter another address (3rd address)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4739,4739,,,,,,,,,Deprecated,,,,,,,,,,400090705,"4 = No, I want to enter another address (4th address)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4740,4740,,,,,,,,,Deprecated,,,,,,,,,,399540389,"5 = No, I want to enter another address (5th address)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4741,4741,,,,,,,,,Deprecated,,,,,,,,,,365196404,"6 = No, I want to enter another address (6th address)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4742,4742,,,,,,,,,Deprecated,,,,,,,,,,676569438,"7 = No, I want to enter another address (7th address)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4743,4743,,,,,,,,,Deprecated,,,,,,,,,,235762633,"8 = No, I want to enter another address (8th address)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4744,4744,,,,,,,,,Deprecated,,,,,,,,,,834672471,"9 = No, I want to enter another address (9th address)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4745,4745,,,,,,,,,Deprecated,,,,,,,,,,641104372,"10 = No, I want to enter another address (10th address)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4746,4746,,,,,,,,,Deprecated,,,,,,,,,,159625321,"11 = No, I want to enter another address (11th address)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4747,4747,,,,,,,,,Deprecated,,,,,,,,,,960288496,12 = You have entered the maximum number of addresses. You will proceed to the next questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6391,6391,129084651,Survey,299215535,Blood/Urine/Mouthwash,705336878,"Did you have any of the following symptoms, the [first/2nd/3rd/etc.] time you had COVID-19? Select all that apply",,SrvBlU_COV8_v1r0,Deprecated,,679368947,Shortness of breath (trouble breathing),,Shortness of breath,SrvBlU_COV8K_v1r0,10,Num,1,104430631,0 = No,,No,No,,,Biospecimen Survey,No,,2/23/23,,"Optional Select All that Apply, Loops",Deprecated COVID-19 questions from Blood/Urine/Mouthwash Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6392,6392,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
