Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V2 Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V2 Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Stub Record Variable to be Retained,Question Type,IMS Review Notes
1,1,192505768,Recruitment,883203566,Sign in,,,,,,,,521025370,Time Stamp for when study ID is submitted by the site,,,D/T Study ID Sub,RcrtSI_TimeStamp_v1r0,,ISO,24,,Example: 2020-07-17T15:21:26.763Z,,Yes,No,"For all variables that are set to a default, they are set to a default when the study ID is submitted for active recruits",,Master Data Dictionary,Yes,No,3/26/21,Participants Table Not nested (state_d_521025370),,,
2,2,192505768,Recruitment,883203566,Sign in,,,,,,,,512820379,Autogenerated flag - Recruitment type,,,Recruit Type,RcrtSI_RecruitType_v1r0,,Num,1,180583933,0 = Not active,,Yes,No,"All Study IDs for which the sites have indicated they are actively recruiting will be flagged as 1.  This should be triggered by a combination of sending the Study IDs to the: Get Participant Token API and then sending the deidentified demographic information to the: Submit participant data API. Study IDs assigned a token/PIN, but who are not being actively recruited are flagged as zero (default) when the study ID is submitted. All individuals who sign-in without a valid token or pin are flagged as 2.",,Recruitment Data Dictionary,No,Yes,,Participants Table Not nested (d_512820379),,,removed quotation marks
3,3,,,,,,,,,,,,,,,,,,,,,486306141,1 = Active,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,854703046,2 = Passive,,,,,,,,,,,,,
5,5,192505768,Recruitment,883203566,Sign in,,,,,,Revised,4/29/26,471593703,Date/Time of Recruitment,,,D/T Recruitment,RcrtSI_RecruitmentDT_v1r0,,ISO,24,,Example: 2020-07-17T15:21:26.763Z,,Yes,No,"ISO to be converted to SAS format; First added on 3/26/21; Changed Current Question Text from 'Autogenerated date/time for recruitment type flag', changed Variable Label from 'D/T Recruit Type Assigned', changed Variable Name from 'RcrtSI_TypeTime_v1r0' (4/2/26); This is an autogenerated D/T variable for when recruitment type flag is set","Required = Yes, if RcrtSI_RecruitType_v1r0 equals 1 or 2",Recruitment Data Dictionary,No,No,4/2/26,Participants Table Not nested (d_471593703),,,
6,6,192505768,Recruitment,883203566,Sign in,,,,,,Revised,,934298480,Site reported age at recruitment,,,Site Reported Age,RcrtSI_Age_v1r0,,Num,1,713781738,0 = 30-34,,Yes,No,"These are the most rolled up versions of the de-identified demographic variables the sites agreed to send, however,  other formats for this data (e.g. Age as a continuous variable) can be accepted.",,Recruitment Data Dictionary,Yes,No,10/11/23,Participants Table Not Nested (state_d_934298480),,,
7,7,,,,,,,,,,,,,,,,,,,,,631272782,1 = 35-39,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,124276120,2 = 40-45,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,450985724,3 = 46-50,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,,363147933,4 = 51-55,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,,,,,,,636706443,5 = 56-60,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,771230670,6 = 61-65,,,,,,,,,,,,,
13,13,,,,,,,,,,,,,,,,,,,,,722846087,7 = 66-70,,,,,,,,,,,,,
14,14,192505768,Recruitment,883203566,Sign in,,,,,,,,849518448,Site reported race/ethnicity,,,Site Reported Race/Eth,RcrtSI_Race_v1r0,,Num,1,768826601,"0 = White, Non-Hispanic",,Yes,No,,,Recruitment Data Dictionary,Yes,No,3/25/21,Participants Table Not nested (state_d_849518448),,,
15,15,,,,,,,,,,,,,,,,,,,,,181769837,55 = Other,,,,,,,,,,,,,
16,16,,,,,,,,,,,,,,,,,,,,,178420302,77 = Unavailable/Unknown,,,,,,,,,,,,,
17,17,192505768,Recruitment,883203566,Sign in,,,,,,,,119643471,Sanford Health Reported Race,,,SF Reported Race,RcrtSI_SHRace_v1r0,,Num,2,232334767,0=African American/Black,,Yes,No,,"Required = Yes, For Sanford Health",Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_119643471),,,
18,18,,,,,,,,,,,,,,,,,,,,,211228524,1=American Indian or Alaskan Native,,,,,,,,,,,,,
19,19,,,,,,,,,,,,,,,,,,,,,308427446,2=Asian,,,,,,,,,,,,,
20,20,,,,,,,,,,,,,,,,,,,,,635279662,3=Caucasian/White,,,,,,,,,,,,,
21,21,,,,,,,,,,,,,,,,,,,,,432722256,4=Hispanic/Latino/Black,,,,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,,,,,232663805,5=Hispanic/Latino/Declined,,,,,,,,,,,,,
23,23,,,,,,,,,,,,,,,,,,,,,785578696,6=Hispanic/Latino/White,,,,,,,,,,,,,
24,24,,,,,,,,,,,,,,,,,,,,,200929978,7=Native Hawaiian,,,,,,,,,,,,,
25,25,,,,,,,,,,,,,,,,,,,,,490725843,8=Native Hawaiian/Pacific Islander,,,,,,,,,,,,,
26,26,,,,,,,,,,,,,,,,,,,,,965998904,9=Pacific Islander,,,,,,,,,,,,,
