Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Question Type,IMS Review Notes
1,1,192505768,Recruitment,883203566,Sign in,,,,,,,521025370,Time Stamp for when study ID is submitted by the site,,Time Study ID Submitted,RcrtSI_TimeStamp_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes,No,"For all variables that are set to a default, they are set to a default when the study ID is submitted for active recruits",,Master Data Dictionary,No,No,3/26/21,Participants Table Not nested (d_521025370),,
2,2,192505768,Recruitment,883203566,Sign in,,,,,,,512820379,Autogenerated flag - Recruitment type,,Recruit Type,RcrtSI_RecruitType_v1r0,,Num,1,180583933,0 = Not active,,Yes,No,"All Study IDs for which the sites have indicated they are actively recruiting will be flagged as 1.  This should be triggered by a combination of sending the Study IDs to the: Get Participant Token API and then sending the deidentified demographic information to the: Submit participant data API. Study IDs assigned a token/PIN, but who are not being actively recruited are flagged as zero (default) when the study ID is submitted. All individuals who sign-in without a valid token or pin are flagged as 2.",,Recruitment Data Dictionary,No,Yes,,Participants Table Not nested (d_512820379),,removed quotation marks
3,3,,,,,,,,,,,,,,,,,,,486306141,1 = Active,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,854703046,2 = Passive,,,,,,,,,,,,
5,5,192505768,Recruitment,883203566,Sign in,,,,,,,471593703,Autogenerated date/time for recruitment type flag,,Time Recruit Type Assigned,RcrtSI_TypeTime_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if RcrtSI_RecruitType_v1r0 equals 1 or 2,No,ISO to be converted to SAS format,,Recruitment Data Dictionary,No,No,3/26/21,Participants Table Not nested (d_471593703),,
6,6,192505768,Recruitment,883203566,Sign in,,,,,Revised,,934298480,Site reported age at recruitment,,Site Age at Recruitment,RcrtSI_Age_v1r0,,Num,1,713781738,0 = 30-34,,Yes,No,"These are the most rolled up versions of the de-identified demographic variables the sites agreed to send, however,  other formats for this data (e.g. Age as a continuous variable) can be accepted.",,Recruitment Data Dictionary,Yes,No,10/11/23,Participants Table Not Nested (state_d_934298480),,
7,7,,,,,,,,,,,,,,,,,,,631272782,1 = 35-39,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,124276120,2 = 40-45,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,450985724,3 = 46-50,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,363147933,4 = 51-55,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,,,,,636706443,5 = 56-60,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,771230670,6 = 61-65,,,,,,,,,,,,
13,13,,,,,,,,,,,,,,,,,,,722846087,7 = 66-70,,,,,,,,,,,,
14,14,192505768,Recruitment,883203566,Sign in,,,,,,,849518448,Site reported race/ethnicity,,Site Race/Eth,RcrtSI_Race_v1r0,,Num,1,768826601,"0 = White, Non-Hispanic",,Yes,No,,,Recruitment Data Dictionary,Yes,No,3/25/21,Participants Table Not nested (state_d_849518448),,
15,15,,,,,,,,,,,,,,,,,,,181769837,55 = Other,,,,,,,,,,,,
16,16,,,,,,,,,,,,,,,,,,,178420302,77 = Unavailable/Unknown,,,,,,,,,,,,
17,17,192505768,Recruitment,883203566,Sign in,,,,,,,119643471,Sanford Health Reported Race,,SF Race,RcrtSI_SHRace_v1r0,,Num,2,232334767,0=African American/Black,,For Sanford Health,No,,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_119643471),,
18,18,,,,,,,,,,,,,,,,,,,211228524,1=American Indian or Alaskan Native,,,,,,,,,,,,
19,19,,,,,,,,,,,,,,,,,,,308427446,2=Asian,,,,,,,,,,,,
20,20,,,,,,,,,,,,,,,,,,,635279662,3=Caucasian/White,,,,,,,,,,,,
21,21,,,,,,,,,,,,,,,,,,,432722256,4=Hispanic/Latino/Black,,,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,,,232663805,5=Hispanic/Latino/Declined,,,,,,,,,,,,
23,23,,,,,,,,,,,,,,,,,,,785578696,6=Hispanic/Latino/White,,,,,,,,,,,,
24,24,,,,,,,,,,,,,,,,,,,200929978,7=Native Hawaiian,,,,,,,,,,,,
25,25,,,,,,,,,,,,,,,,,,,490725843,8=Native Hawaiian/Pacific Islander,,,,,,,,,,,,
26,26,,,,,,,,,,,,,,,,,,,965998904,9=Pacific Islander,,,,,,,,,,,,
27,27,,,,,,,,,,,,,,,,,,,986445321,66=Blank,,,,,,,,,,,,
28,28,,,,,,,,,,,,,,,,,,,746038746,99=Declined,,,,,,,,,,,,
29,29,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,
30,30,192505768,Recruitment,883203566,Sign in,,,,,,,538553381,Sanford Health Reported Ethnicity,,SF Eth,RcrtSI_SHEthnicity_v1r0,,Num,1,628733063,0=Hispanic or Latino,,For Sanford Health,No,,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_538553381),,
31,31,,,,,,,,,,,,,,,,,,,319570637,1=Not Hispanic or Latino,,,,,,,,,,,,
32,32,,,,,,,,,,,,,,,,,,,986445321,66=Blank,,,,,,,,,,,,
33,33,,,,,,,,,,,,,,,,,,,746038746,99=Declined,,,,,,,,,,,,
34,34,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,
35,35,192505768,Recruitment,883203566,Sign in,,,,,,,684926335,Henry Ford Health System Reported Race,,HFH Race,RcrtSI_HFHSRace_v1r0,,Num,2,232334767,0=African American/Black,,For Henry Ford HS,No,,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_684926335),,
36,36,,,,,,,,,,,,,,,,,,,635279662,1=Caucasian/White,,,,,,,,,,,,
37,37,,,,,,,,,,,,,,,,,,,401335456,"2=Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander)",,,,,,,,,,,,
38,38,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,
39,39,192505768,Recruitment,883203566,Sign in,,,,,,,527823810,Henry Ford Health System Reported Ethnicity,,HFH Eth,RcrtSI_HFHSEthnicity_v1r0,,Num,2,628733063,0=Hispanic or Latino,,For Henry Ford HS,No,,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_527823810),,
40,40,,,,,,,,,,,,,,,,,,,319570637,1=Not Hispanic or Latino,,,,,,,,,,,,
41,41,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,
42,42,192505768,Recruitment,883203566,Sign in,,,,,,,706256705,Site reported sex,,Site Sex,RcrtSI_Sex_v1r0,,Num,1,536341288,0 = Female,,Yes,No,,,Recruitment Data Dictionary,Yes,No,2/2/22,Participants Table Not nested (state_d_706256705),,
43,43,,,,,,,,,,,,,,,,,,,654207589,1 = Male,,,,,,,,,,,,
44,44,,,,,,,,,,,,,,,,,,,830573274,2 = Intersex or other- Site Reported,,,,,,,,,,,Note for Nicole to check in her email. Concept IDs in Module 1 and Master Dictionary are diff,
45,45,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,
46,46,192505768,Recruitment,883203566,Sign in,,,,,,,435027713,Sanford and Henry Ford reported sex,,SF/HFH Sex,RcrtSI_SH_HFHS_Sex_v1r0,,Num,1,536341288,0 = Female,,For SH and HFHS,No,,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_435027713),,
47,47,,,,,,,,,,,,,,,,,,,654207589,1 = Male,,,,,,,,,,,,
48,48,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,
49,49,192505768,Recruitment,883203566,Sign in,,,,,,,749475364,Eligibility algorithm version,,Elig Algorithm Vers,RcrtSI_EligibilityVer_v1r0,,Char,25,,N/A,,Yes,No,Version of the algorithm use to select the pool of eligible participants that the active recruit is selected from. Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_749475364),,
50,50,192505768,Recruitment,883203566,Sign in,,,,,,,477091792,IHCS Membership Status,,IHCS Member Status,RcrtSI_MemberStat_v1r0,,Num,1,939572698,0=Member of IHCS Health Plan,,Yes,No,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_477091792),,
51,51,,,,,,,,,,,,,,,,,,,512786135,1=Non-Member IHCS Patient,,,,,,,,,,,,
52,52,,,,,,,,,,,,,,,,,,,582670006,2=Member and Patient of IHCS Health Plan,,,,,,,,,,,,
53,53,192505768,Recruitment,883203566,Sign in,,,,,Revised,8/21/23,667474224,Campaign Type,,Campaign,RcrtSI_CampaignType_v1r0,,Num,1,926338735,0=Random,,Yes,No,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,8/21/23,Participants Table Not nested (state_d_667474224),,
54,54,,,,,,,,,,,,,,,,,,,348281054,1=Screening appointment,,,,"For passive recruits, 88 = None of the above, should be used when campaign type is not available.",,,,,,,,
55,55,,,,,,,,,,,,,,,,,,,324692899,2=Non-screening appointment,,,,,,,,,,,,
56,56,,,,,,,,,,,,,,,,,,,351257378,3=Demographic Group,,,,,,,,,,,,
57,57,,,,,,,,,,,,,,,,,,,647148178,4=Aging out of study,,,,,,,,,,,,
58,58,,,,,,,,,,,,,,,,,,,834544960,5=Geographic group,,,,,,,,,,,,
59,59,,,,,,,,,,,,,,,,,,,682916147,6=Post-Screening Selection,,,,,,,,,,,,
60,60,,,,,,,,,,,,,,,,,,,153365143,7= Technology adapters,,,,,,,,,,,,
61,61,,,,,,,,,,,,,,,,,,,663706936,8= Low-income/health professional shortage areas,,,,,,,,,,,,
62,62,,,,,,,,,,,,,,,,,,,208952854,9=Research Registry,,,,,,,,,,,,
63,63,,,,,,,,,,,,,,,,,,,296312382,10=Pop up,,,,,,,,,,,,
64,64,,,,,,,,,,,,,,,,,,,181769837,55=Other,,,,,,,,,,,,
65,65,,,,,,,,,,,,,,,,,,,398561594,88=None of these apply,,,,,,,,,,,,
66,66,192505768,Recruitment,883203566,Sign in,,,,,,,481139103,PIN/Token Workflow for HP,,Workflow Type,RcrtSI_WorkflowType_v1r0,,Num,1,910533468,0 = Letter without PIN,,Yes for HP,No,Going forward (from 2/21/23) HP will include PINs in all their recruitment letters. This means they won't be meaningfully using this variable we established for PIN vs No PIN groups from HP going forward.,,Recruitment Data Dictionary,Yes,No,4/13/23,Participants Table Not nested (state_d_481139103),,Removed Special Characters
67,67,,,,,,,,,,,,,,,,,,,456806539,1 = Letter with PIN,,,,,,,,,,,,
